id,post_id,post_title,title,description,keywords,keyphrases,page_analysis,primary_term,canonical_url,og_title,og_description,og_object_type,og_image_type,og_image_url,og_image_width,og_image_height,og_image_custom_url,og_image_custom_fields,og_video,og_custom_url,og_article_section,og_article_tags,twitter_use_og,twitter_card,twitter_image_type,twitter_image_url,twitter_image_custom_url,twitter_image_custom_fields,twitter_title,twitter_description,schema,pillar_content,robots_default,robots_noindex,robots_noarchive,robots_nosnippet,robots_nofollow,robots_noimageindex,robots_noodp,robots_notranslate,robots_max_snippet,robots_max_videopreview,robots_max_imagepreview,priority,frequency,limit_modified_date,created,updated
414,3514,Препоръчани,,,"ръчно изработени бижута, елегантни аксесоари, луксозни бижута, ежедневни бижута","Ръчно изработено бижу - Препоръчани, перфектно за всеки ден, Купете Препоръчани – уникален аксесоар за вашия стил",,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,-1.0,-1.0,large,,default,0,2025-01-06 03:38:57,2025-01-12 12:37:17
415,3525,Newest,,,"ръчно изработени бижута, елегантни аксесоари, луксозни бижута, ежедневни бижута","Ръчно изработено бижу - Newest, перфектно за всеки ден, Купете Newest – уникален аксесоар за вашия стил",,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,,,large,,,0,2025-01-06 03:38:57,2025-01-06 03:38:57
416,3536,On a sale,,,"ръчно изработени бижута, елегантни аксесоари, луксозни бижута, ежедневни бижута","Ръчно изработено бижу - On a sale, перфектно за всеки ден, Купете On a sale – уникален аксесоар за вашия стил",,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,,,large,,,0,2025-01-06 03:38:57,2025-01-06 03:38:57
417,3541,Popular,,,"ръчно изработени бижута, елегантни аксесоари, луксозни бижута, ежедневни бижута","Ръчно изработено бижу - Popular, перфектно за всеки ден, Купете Popular – уникален аксесоар за вашия стил",,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,,,large,,,0,2025-01-06 03:38:57,2025-01-06 03:38:57
418,3551,Home 8,,,"ръчно изработени бижута, елегантни аксесоари, луксозни бижута, ежедневни бижута","Ръчно изработено бижу - Home 8, перфектно за всеки ден, Купете Home 8 – уникален аксесоар за вашия стил",,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,,,large,,,0,2025-01-06 03:39:57,2025-01-06 03:39:57
419,4153,Home 9,,,"ръчно изработени бижута, елегантни аксесоари, луксозни бижута, ежедневни бижута","Купете Home 9 – уникален аксесоар за вашия стил, Ръчно изработено бижу - Home 9, перфектно за всеки ден",,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,,,large,,,0,2025-01-06 03:39:57,2025-01-06 03:39:57
420,4510,Начало,Начало - Fedefee.com - Ръчно изработени бижута,"FE DE FE JEWELRY Ръчно изработени бижута, които разказват вашата история. С внимание към детайла и вдъхновение от най-красивите мигове, нашите творения са създадени, за да направят вашия специален ден още по-вълшебен.","ръчно изработени бижута, елегантни аксесоари, луксозни бижута, ежедневни бижута","Купете Начало – уникален аксесоар за вашия стил, Ръчно изработено бижу - Начало, перфектно за всеки ден","{""analysis"":{""basic"":{""keyphraseInContent"":{""score"":9,""maxScore"":9,""error"":0},""keyphraseInIntroduction"":{""score"":9,""maxScore"":9,""error"":0},""keyphraseInDescription"":{""score"":9,""maxScore"":9,""error"":0},""keyphraseLength"":{""score"":-999,""maxScore"":9,""error"":1,""length"":0},""metadescriptionLength"":{""score"":6,""maxScore"":9,""error"":1},""lengthContent"":{""score"":-10,""maxScore"":9,""error"":1},""isInternalLink"":{""score"":9,""maxScore"":9,""error"":0},""isExternalLink"":{""score"":9,""maxScore"":9,""error"":0},""errors"":3},""title"":{""keyphraseInTitle"":{""score"":9,""maxScore"":9,""error"":0},""keyphraseInBeginningTitle"":{""score"":3,""maxScore"":9,""error"":1},""titleLength"":{""score"":9,""maxScore"":9,""error"":0},""errors"":1},""readability"":{""contentHasAssets"":{""error"":0,""score"":5,""maxScore"":5},""paragraphLength"":{""score"":5,""maxScore"":5,""error"":0},""sentenceLength"":{""score"":9,""maxScore"":9,""error"":0},""passiveVoice"":{""score"":9,""maxScore"":9,""error"":0},""transitionWords"":{""score"":3,""maxScore"":9,""error"":1},""consecutiveSentences"":{""score"":9,""maxScore"":9,""error"":0},""subheadingsDistribution"":{""score"":9,""maxScore"":9,""error"":0},""calculateFleschReading"":{""score"":9,""maxScore"":9,""error"":0},""errors"":1}}}",,,#post_title #separator_sa #site_title,,website,custom_image,https://fedefee.com/wp-content/uploads/2025/01/fedefe.png,976.0,355.0,https://fedefee.com/wp-content/uploads/2025/01/fedefe.png,,,,,,0,default,custom_image,https://fedefee.com/wp-content/uploads/2025/01/fedefe.png,https://fedefee.com/wp-content/uploads/2025/01/fedefe.png,,#post_title #separator_sa #site_title,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":""WebPage"",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,-1.0,-1.0,large,,default,0,2025-01-06 03:39:57,2025-03-16 14:53:14
421,185,Our items in London Museum,,,"ръчно изработени бижута, елегантни аксесоари, луксозни бижута, ежедневни бижута","Купете Our items in London Museum – уникален аксесоар за вашия стил, Ръчно изработено бижу - Our items in London Museum, перфектно за всеки ден",,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,,,large,,,0,2025-01-06 03:39:57,2025-01-06 03:39:57
422,190,Follow our Instagram,,,"ръчно изработени бижута, елегантни аксесоари, луксозни бижута, ежедневни бижута","Купете Follow our Instagram – уникален аксесоар за вашия стил, Ръчно изработено бижу - Follow our Instagram, перфектно за всеки ден",,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,,,large,,,0,2025-01-06 03:39:57,2025-01-06 03:39:57
423,192,We win Jewelry  Competiton 2021,,,"ръчно изработени бижута, елегантни аксесоари, луксозни бижута, ежедневни бижута","Купете We win Jewelry  Competiton 2021 – уникален аксесоар за вашия стил, Ръчно изработено бижу - We win Jewelry  Competiton 2021, перфектно за всеки ден",,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,,,large,,,0,2025-01-06 03:39:57,2025-01-06 03:39:57
424,158,Best gifts for Holidays,,,"ръчно изработени бижута, елегантни аксесоари, луксозни бижута, ежедневни бижута","Купете Best gifts for Holidays – уникален аксесоар за вашия стил, Ръчно изработено бижу - Best gifts for Holidays, перфектно за всеки ден",,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,,,large,,,0,2025-01-06 03:39:57,2025-01-06 03:39:57
425,164,New trends in jewelry industry in 2021,,,"ръчно изработени бижута, елегантни аксесоари, луксозни бижута, ежедневни бижута","Ръчно изработено бижу - New trends in jewelry industry in 2021, перфектно за всеки ден, Купете New trends in jewelry industry in 2021 – уникален аксесоар за вашия стил",,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,,,large,,,0,2025-01-06 03:39:57,2025-01-06 03:39:57
426,167,We working on new luxury collection,,,"ръчно изработени бижута, елегантни аксесоари, луксозни бижута, ежедневни бижута","Купете We working on new luxury collection – уникален аксесоар за вашия стил, Ръчно изработено бижу - We working on new luxury collection, перфектно за всеки ден",,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,,,large,,,0,2025-01-06 03:39:57,2025-01-06 03:39:57
427,179,Video presentation new collection,,,"ръчно изработени бижута, елегантни аксесоари, луксозни бижута, ежедневни бижута","Ръчно изработено бижу - Video presentation new collection, перфектно за всеки ден, Купете Video presentation new collection – уникален аксесоар за вашия стил",,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,-1.0,-1.0,large,,default,0,2025-01-06 03:39:57,2025-03-03 12:09:53
